Item Code,Colour Status,Colour Status.1,Prev Colour Status,Prev Colour Status.1,Red Days,Red to Black
30161803SD00171,White,White,Red,White,2,1
30161803SD00108,White,White,White,White,0,0
30161803SD00653,Green,Green,Black,Black,6,3
30161803SD00655,Red,Red,Green,Green,4,1
30161803SD00980,Red,Red,Yellow,Yellow,5,0
30161803SD00858,White,White,White,White,0,0
30161803SD00279,Yellow,Yellow,Red,Green,6,0
30161803SD00098,White,White,White,White,4,0
30161803SD00207,White,White,White,White,3,0
30161803SD00025,Green,White,Black,Black,1,1
30161803SD00637,White,White,White,White,0,0
30161803SD00826,Red,Red,Black,White,3,2
30161803SD00819,Black,Black,Black,Black,0,0
30161803SD00802,White,White,White,White,0,0
30161803SD00337,Black,Yellow,Yellow,Yellow,4,0
30161803SD00028,Red,Yellow,Yellow,Yellow,11,1
30161803SD00981,Black,Black,Black,Black,2,1
30161803SD00344,Yellow,Yellow,Green,Green,7,2
30161803SD00280,Red,Red,Green,Green,6,0
30161803SD00334,Green,Green,Green,Green,7,2
30161803SD00332,Yellow,Yellow,Black,Green,10,0
30161803SD00664,White,White,White,White,3,0
30161803SD00829,Green,Green,White,White,3,1
30161803SD00650,White,White,Black,Black,5,2
30161803SD00335,Black,Black,White,White,3,0
30161803SD00983,Black,Black,Black,Black,16,3
30161803SD00209,White,White,Black,Black,4,1
30161803SD00398,White,White,White,White,2,0
30161803SD00828,White,White,White,White,1,0
30161803SD00024,Red,Red,Red,Red,6,0
30161803SD00992,White,White,White,White,5,1
30161803SD00072,White,White,White,White,3,1
30161803SD00087,White,White,White,White,0,0
30161803SD00391,White,White,White,White,5,1
30161803SD00397,Red,Red,White,White,5,1
30161803SD00663,White,White,White,White,3,0
30161803SD00173,White,White,White,White,0,0
30161803SD00281,White,White,Yellow,White,1,1
30161803SD00068,Green,Green,White,White,1,0
30161803SD00654,White,White,White,White,3,1
30161803SD00206,White,White,White,White,5,1
30161803SD00110,Yellow,Yellow,Yellow,Yellow,0,0
30161803SD00029,Yellow,Yellow,White,White,5,0
30161803SD00339,Red,Red,Green,Green,1,0
30161803SD00205,White,White,Yellow,Yellow,6,2
30161803SD00661,White,White,White,White,4,1
30161803SD00222,White,White,White,White,2,1
30161803SD00835,Red,Red,Red,Red,7,1
30161803SD01023,White,White,White,White,1,1
56101597SD00065,White,White,White,White,0,0
